Date,Campaign_ID,Campaign,Primary_channel_group,Source,Total_users,Sessions,Ads_impressions,Ads_clicks,Ads_cost,Return_on_ad_spend,Ads_CTR
2025-04-26,(not set),(direct),Direct,(direct),6,6,0,0,0.0,0.0,0.0
2025-04-26,Shopping Free Listings,Shopping Free Listings,Organic Shopping,google,4,6,0,0,0.0,0.0,0.0
2025-04-26,(not set),(referral),Organic Social,facebook.com,1,1,0,0,0.0,0.0,0.0
2025-04-26,(not set),(referral),Organic Social,l.facebook.com,1,1,0,0,0.0,0.0,0.0
2025-04-26,120221855331690417,120221855331690417,Paid Social,ig,1,1,0,0,0.0,0.0,0.0
2025-04-26,22367129997,G_PMAX_Padel_Tier2_Mar25,Cross-network,google,1,1,456,8,9.999062,0.0,0.017543859649122806
2025-04-26,21934847264,(not set),Paid Shopping,google,0,0,322,0,0.0,0.0,0.0
2025-04-26,21964277743,(not set),Paid Shopping,google,0,0,2881,22,6.399089,0.0,0.0076362374175633465
2025-04-25,(not set),(organic),Organic Search,google,3,3,0,0,0.0,0.0,0.0
2025-04-25,(not set),(direct),Direct,(direct),2,2,0,0,0.0,0.0,0.0
2025-04-25,22377183748,G_PMAX_Padel_Tier1_Mar25,Cross-network,google,2,2,311,5,6.12,0.0,0.01607717041800643
2025-04-25,(not set),(organic),Organic Search,yahoo,1,1,0,0,0.0,0.0,0.0
2025-04-25,21938652714,G_Search_Brand,Paid Search,google,1,1,84,15,7.48015,0.0,0.17857142857142858
2025-04-25,21938652714,(not set),Display,google,0,0,14,0,3e-05,0.0,0.0
2025-04-25,21938652714,(not set),Paid Search,google,0,0,19,0,0.0,0.0,0.0
2025-04-25,21964277743,(not set),Paid Shopping,google,0,0,270,0,0.0,0.0,0.0
2025-04-24,Shopping Free Listings,Shopping Free Listings,Organic Shopping,google,7,7,0,0,0.0,0.0,0.0
2025-04-24,(not set),(direct),Direct,(direct),5,6,0,0,0.0,0.0,0.0
2025-04-24,(not set),(organic),Organic Search,google,3,5,0,0,0.0,0.0,0.0
2025-04-24,21934847264,Google_Shopping_Pickleball,Paid Shopping,google,3,4,5150,44,11.421134,0.0,0.00854368932038835
2025-04-24,21964277743,Google_Shopping_Padel,Paid Shopping,google,3,4,2472,34,10.59,0.0,0.013754045307443365
2025-04-24,21938652714,G_Search_Brand,Paid Search,google,2,2,101,16,8.718678,0.0,0.15841584158415842
2025-04-24,(not set),(referral),Organic Social,facebook,1,2,0,0,0.0,0.0,0.0
2025-04-24,22377183748,G_PMAX_Padel_Tier1_Mar25,Cross-network,google,1,1,465,8,5.941116,12.8746854967989,0.017204301075268817
2025-04-24,21934847264,(not set),Paid Shopping,google,0,0,436,0,0.0,0.0,0.0
2025-04-24,21938652714,(not set),Paid Search,google,0,0,21,0,0.0,0.0,0.0
2025-04-23,(not set),(referral),Organic Shopping,admin.shopify.com,1,1,0,0,0.0,0.0,0.0
2025-04-23,(not set),(referral),Organic Social,facebook.com,1,1,0,0,0.0,0.0,0.0
2025-04-23,01JS4RRZQZFHBE8EG8PTV87B0P,Sergio Tacchii,Email,email,1,1,0,0,0.0,0.0,0.0
2025-04-23,21934847264,Google_Shopping_Pickleball,Paid Shopping,google,1,1,5136,44,11.216534,0.0,0.008566978193146417
2025-04-23,22367129997,G_PMAX_Padel_Tier2_Mar25,Cross-network,google,1,1,172,4,3.05,0.0,0.023255813953488372
2025-04-23,21934847264,(not set),Paid Shopping,google,0,0,551,2,0.17,0.0,0.003629764065335753
2025-04-23,21938652714,(not set),Display,google,0,0,4,0,0.0,0.0,0.0
2025-04-23,21964277743,(not set),Paid Shopping,google,0,0,252,0,0.0,0.0,0.0
2025-04-22,(not set),(direct),Direct,(direct),10,15,0,0,0.0,0.0,0.0
2025-04-22,Shopping Free Listings,Shopping Free Listings,Organic Shopping,google,4,4,0,0,0.0,0.0,0.0
2025-04-22,(not set),(organic),Organic Search,google,2,2,0,0,0.0,0.0,0.0
2025-04-22,22367129997,G_PMAX_Padel_Tier2_Mar25,Cross-network,google,1,1,223,6,10.554513,0.0,0.026905829596412557
2025-04-22,22377183748,G_PMAX_Padel_Tier1_Mar25,Cross-network,google,1,1,154,4,2.51,0.0,0.025974025974025976
2025-04-22,21934847264,(not set),Paid Shopping,google,0,0,487,0,0.0,0.0,0.0
2025-04-22,21938652714,(not set),Display,google,0,0,1,0,0.0,0.0,0.0
2025-04-22,21938652714,(not set),Paid Search,google,0,0,42,0,0.0,0.0,0.0
2025-04-22,22377170377,(not set),Cross-network,google,0,0,55,1,0.15,0.0,0.01818181818181818
2025-04-21,(not set),(organic),Organic Search,google,5,6,0,0,0.0,0.0,0.0
2025-04-21,21934847264,Google_Shopping_Pickleball,Paid Shopping,google,5,6,6360,52,17.170962,0.0,0.008176100628930818
2025-04-21,21964277743,Google_Shopping_Padel,Paid Shopping,google,2,2,4686,41,13.748306,0.0,0.008749466495945369
2025-04-21,01JS4RRZQZFHBE8EG8PTV87B0P,Sergio Tacchii,Email,email,1,1,0,0,0.0,0.0,0.0
2025-04-21,21938652714,(not set),Paid Search,google,0,0,66,1,0.44,0.0,0.015151515151515152
2025-04-21,21964277743,(not set),Paid Shopping,google,0,0,314,0,0.0,0.0,0.0
2025-04-21,22377170377,(not set),Cross-network,google,0,0,73,0,0.015887,0.0,0.0
2025-04-20,21964277743,Google_Shopping_Padel,Paid Shopping,google,4,4,3362,28,8.676633,9.50829659385155,0.008328375966686495
2025-04-20,(not set),(not set),Unassigned,(not set),3,3,0,0,0.0,0.0,0.0
2025-04-20,(not set),(organic),Organic Search,google,3,3,0,0,0.0,0.0,0.0
2025-04-20,(not set),(direct),Direct,(direct),1,1,0,0,0.0,0.0,0.0
2025-04-20,22367129997,G_PMAX_Padel_Tier2_Mar25,Cross-network,google,1,1,427,3,4.472614,0.0,0.00702576112412178
2025-04-20,21934847264,(not set),Paid Shopping,google,0,0,381,0,0.0,0.0,0.0
2025-04-20,21964277743,(not set),Paid Shopping,google,0,0,249,0,0.0,0.0,0.0
2025-04-20,22377183748,(not set),Cross-network,google,0,0,672,5,1.76,0.0,0.00744047619047619
2025-04-19,Shopping Free Listings,Shopping Free Listings,Organic Shopping,google,4,4,0,0,0.0,0.0,0.0
2025-04-19,(not set),(direct),Direct,(direct),2,2,0,0,0.0,0.0,0.0
2025-04-19,(not set),(organic),Organic Search,google,2,2,0,0,0.0,0.0,0.0
2025-04-19,(not set),(referral),Organic Social,l.instagram.com,1,1,0,0,0.0,0.0,0.0
2025-04-19,21938652714,(not set),Display,google,0,0,14,0,0.0,0.0,0.0
2025-04-19,21938652714,(not set),Paid Search,google,0,0,139,12,2.7,0.0,0.08633093525179857
2025-04-19,21964277743,(not set),Paid Shopping,google,0,0,179,0,0.0,0.0,0.0
2025-04-19,22354251261,(not set),Cross-network,google,0,0,32,2,0.315108,0.0,0.0625
2025-04-18,Shopping Free Listings,Shopping Free Listings,Organic Shopping,google,5,5,0,0,0.0,0.0,0.0
2025-04-18,(not set),(organic),Organic Search,google,4,4,0,0,0.0,0.0,0.0
2025-04-18,21934847264,Google_Shopping_Pickleball,Paid Shopping,google,3,3,4606,33,9.357407,0.0,0.007164567954841511
2025-04-18,22377183748,G_PMAX_Padel_Tier1_Mar25,Cross-network,google,3,3,489,10,6.38,12.0219435736677,0.02044989775051125
2025-04-18,21938652714,G_Search_Brand,Paid Search,google,2,2,126,12,4.248027,17.1844482156069,0.09523809523809523
2025-04-18,Td8ZnC,Welcome Series | Email #1,Email,email,1,1,0,0,0.0,0.0,0.0
2025-04-18,VD8vP6,Abandoned Cart: Email 2,Email,email,1,1,0,0,0.0,0.0,0.0
2025-04-18,21938652714,(not set),Paid Search,google,0,0,52,0,0.0,0.0,0.0
2025-04-18,21964277743,(not set),Paid Shopping,google,0,0,242,0,0.0,0.0,0.0
2025-04-18,22354251261,(not set),Cross-network,google,0,0,38,0,0.003343,0.0,0.0
2025-04-17,Shopping Free Listings,Shopping Free Listings,Organic Shopping,google,6,6,0,0,0.0,0.0,0.0
2025-04-17,21964277743,Google_Shopping_Padel,Paid Shopping,google,3,3,2351,22,5.71573,23.9147055581701,0.009357720119098255
2025-04-17,21964277743,(not set),Paid Shopping,google,0,0,167,0,0.0,0.0,0.0
2025-04-17,22354251261,(not set),Cross-network,google,0,0,33,5,6.265552,0.0,0.15151515151515152
2025-04-17,22367129997,(not set),Cross-network,google,0,0,179,2,1.245018,0.0,0.0111731843575419
2025-04-16,(not set),(direct),Direct,(direct),3,3,0,0,0.0,0.0,0.0
2025-04-16,Shopping Free Listings,Shopping Free Listings,Organic Shopping,google,2,2,0,0,0.0,0.0,0.0
2025-04-16,(not set),(organic),Organic Search,google,1,1,0,0,0.0,0.0,0.0
2025-04-16,21938652714,(not set),Display,google,0,0,7,0,0.0,0.0,0.0
2025-04-16,21938652714,(not set),Paid Search,google,0,0,209,20,11.48,0.0,0.09569377990430622
2025-04-16,21964277743,(not set),Paid Shopping,google,0,0,3830,28,8.294642,0.0,0.007310704960835509
2025-04-16,22354251261,(not set),Cross-network,google,0,0,39,3,1.733278,0.0,0.07692307692307693
2025-04-16,22377183748,(not set),Cross-network,google,0,0,549,7,5.459363,0.0,0.012750455373406194
2025-04-15,21934847264,(not set),Paid Shopping,google,0,0,7732,52,27.687961,0.0,0.006725297465080186
2025-04-15,22354251261,(not set),Cross-network,google,0,0,23,1,0.71,0.0,0.043478260869565216
2025-04-15,22367129997,(not set),Cross-network,google,0,0,308,6,10.737962,0.0,0.01948051948051948
2025-04-15,22377183748,(not set),Cross-network,google,0,0,859,10,11.38,0.0,0.011641443538998836
2025-04-14,21934847264,(not set),Paid Shopping,google,0,0,7589,25,10.084189,0.0,0.003294241665568586
2025-04-14,21938652714,(not set),Display,google,0,0,5,1,0.018072,0.0,0.2
2025-04-14,22354251261,(not set),Cross-network,google,0,0,32,2,2.540113,0.0,0.0625
2025-04-14,22367129997,(not set),Cross-network,google,0,0,428,4,3.715005,0.0,0.009345794392523364
2025-04-14,22377170377,(not set),Cross-network,google,0,0,217,7,12.803609,0.0,0.03225806451612903
2025-04-14,22377183748,(not set),Cross-network,google,0,0,755,9,12.391655,0.0,0.011920529801324504
2025-04-13,21938652714,(not set),Paid Search,google,0,0,102,5,0.804949,0.0,0.049019607843137254
2025-04-13,22354251261,(not set),Cross-network,google,0,0,29,1,2.23,0.0,0.034482758620689655
2025-04-13,22367129997,(not set),Cross-network,google,0,0,837,6,6.87753,0.0,0.007168458781362007
2025-04-13,22377170377,(not set),Cross-network,google,0,0,145,6,4.950686,0.0,0.041379310344827586
2025-04-13,22377183748,(not set),Cross-network,google,0,0,1478,7,6.784607,0.0,0.004736129905277402
2025-04-12,21934847264,(not set),Paid Shopping,google,0,0,7327,39,26.7,0.0,0.005322778763477549
2025-04-12,21938652714,(not set),Paid Search,google,0,0,109,9,3.070487,0.0,0.08256880733944955
2025-04-12,22377183748,(not set),Cross-network,google,0,0,643,6,2.790087,0.0,0.00933125972006221
2025-04-11,22354251261,(not set),Cross-network,google,0,0,17,1,0.265277,0.0,0.058823529411764705
2025-04-11,22377170377,(not set),Cross-network,google,0,0,88,4,5.727921,0.0,0.045454545454545456
2025-04-10,21938652714,G_Search_Brand,Paid Search,google,1,1,46,12,8.5,0.0,0.2608695652173913
2025-04-10,21934847264,(not set),Paid Shopping,google,0,0,4183,7,5.11,0.0,0.0016734401147501792
2025-04-10,21938652714,(not set),Paid Search,google,0,0,20,0,0.0,0.0,0.0
2025-04-10,22367129997,(not set),Cross-network,google,0,0,237,5,5.869636,0.0,0.02109704641350211
2025-04-10,22377183748,(not set),Cross-network,google,0,0,247,8,9.39886,0.0,0.032388663967611336
2025-04-09,21938652714,G_Search_Brand,Paid Search,google,2,2,139,17,8.471158,17.7071422820823,0.1223021582733813
2025-04-09,21964277743,Google_Shopping_Padel,Paid Shopping,google,1,1,2095,17,6.995766,0.0,0.008114558472553698
2025-04-09,21964277743,(not set),Paid Shopping,google,0,0,67,0,0.0,0.0,0.0
